cod_zona,glosa_zona,votos_2016,votos_2017,votos_2020,electores_2016,electores_2017,electores_2020,electores_2021,part_2016,part_2017,part_2020
2714,MAULLIN,6775,5910,5095,15080,15154,15355,15413,0.4492705570291777,0.3899960406493335,0.3318137414522957
2509,MEJILLONES,4720,3679,5128,9003,9058,9825,10035,0.5242696878818172,0.4061603002870391,0.5219338422391857
2684,MELIPEUCO,3444,2596,2229,7207,7290,7512,7836,0.4778687387262384,0.3561042524005487,0.2967252396166134
2800,MELIPILLA,29786,41722,43134,90966,92804,96589,97217,0.3274410219202779,0.4495711391750356,0.4465725910818002
2628,MOLINA,19245,18608,19177,37419,37949,38926,39426,0.514310911568989,0.4903423015099212,0.4926527256846324
2538,MONTE PATRIA,11558,11007,11199,26550,27066,27916,28025,0.4353295668549906,0.4066725781423188,0.4011677890815303
2588,MOSTAZAL,10302,9686,11438,19381,19782,20649,20983,0.531551519529436,0.4896370437771712,0.553925129546225
2665,MULCHEN,13255,11649,10136,25929,26264,26725,26828,0.5112036715646573,0.4435348766372221,0.3792703461178671
2666,NACIMIENTO,11871,10686,10403,23950,24219,24636,24671,0.4956576200417537,0.4412238325281804,0.42226822536126
2606,NANCAGUA,7498,7045,7059,14494,14681,15115,15241,0.5173175106940803,0.4798719433281112,0.4670195170360569
2756,NATALES,7201,7591,7798,21128,21392,22396,22709,0.3408273381294964,0.3548522812266268,0.3481871762814788
2600,NAVIDAD,3471,2844,2914,5669,5779,6291,7008,0.612277297583348,0.4921266655130646,0.4632013988237164
2667,NEGRETE,5373,4248,3704,8530,8640,8912,9086,0.6298944900351701,0.4916666666666666,0.4156193895870736
2838,NINHUE,4324,2840,1920,6157,6049,6027,6325,0.7022900763358778,0.4694990907588031,0.3185664509706321
2562,NOGALES,9068,9047,10811,19101,19211,19641,19698,0.4747395424323334,0.4709281141012962,0.5504302224937629
2685,NUEVA IMPERIAL,13601,13967,12100,29637,29880,30516,30689,0.4589195937510544,0.4674364123159304,0.3965133044960021
2743,O'HIGGINS,430,237,236,740,699,714,791,0.581081081081081,0.3390557939914163,0.3305322128851541
2589,OLIVAR,6168,5987,6485,11723,11900,12305,12496,0.5261451846796895,0.503109243697479,0.5270215359609914
2513,OLLAGUE,1079,265,379,2202,2027,1788,1694,0.4900090826521344,0.1307350764676862,0.2119686800894855
2577,OLMUE,7955,7297,7878,14850,15216,16111,16406,0.5356902356902357,0.4795609884332282,0.4889826826391906
2726,OSORNO,37479,63938,70252,138682,140080,142947,143162,0.2702513664354422,0.4564391776127927,0.4914548748836982
2536,OVALLE,30350,36512,40338,87001,88386,91515,91832,0.3488465649820117,0.4130970968252891,0.4407801999672185
2808,PADRE HURTADO,14824,20113,26116,37889,39404,42789,44714,0.3912481195069809,0.5104304131560248,0.6103437799434434
2686,PADRE LAS CASAS,16272,24192,23953,54530,55662,57937,58858,0.298404547955254,0.4346232618303331,0.4134318311269137
2530,PAIHUANO,2993,2156,2414,4727,4769,5122,5389,0.6331711444891052,0.4520863912769973,0.4713002733307302
2816,PAILLACO,8800,8630,7673,18478,18706,19020,19259,0.4762420175343652,0.4613492996899389,0.4034174553101998
