COD_PACTO,COD_ZONA,LETRA_PACTO,GLOSA_PACTO,COD_IMFD,GLOSA_IMFD,COD_SERVEL,GLOSA_SERVEL
215,6020,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6021,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6023,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6024,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
216,6006,XG,PARTIDO HUMANISTA,8,PARTIDO HUMANISTA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
216,6007,XG,PARTIDO HUMANISTA,8,PARTIDO HUMANISTA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
216,6008,XG,PARTIDO HUMANISTA,8,PARTIDO HUMANISTA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
216,6011,XG,PARTIDO HUMANISTA,8,PARTIDO HUMANISTA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
216,6012,XG,PARTIDO HUMANISTA,8,PARTIDO HUMANISTA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
216,6028,XG,PARTIDO HUMANISTA,8,PARTIDO HUMANISTA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
232,6027,YD,PATAGONIA SOMOS TODOS (D27),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
267,6002,E,PUEBLO UNIDO TARAPACA (D2),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
200,6028,XM,REGIONALISMO CIUDADANO INDEPENDIENTE (D28),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
242,6028,YE,REPUBLICA DE LOS INDEPENDIENTES DE MAGALLANES (D28),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
263,6016,XV,SEXTA UNIDA (D16),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
197,6007,D,SOBERANIA CIUDADANA (D7),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
305,6001,WE,SUMATE AHORA (D1),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
220,6006,ZB,UNION PATRIOTICA,6,UNION PATRIOTICA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
220,6007,ZB,UNION PATRIOTICA,6,UNION PATRIOTICA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
220,6008,ZB,UNION PATRIOTICA,6,UNION PATRIOTICA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
220,6009,ZB,UNION PATRIOTICA,6,UNION PATRIOTICA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
220,6010,ZB,UNION PATRIOTICA,6,UNION PATRIOTICA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
220,6011,ZB,UNION PATRIOTICA,6,UNION PATRIOTICA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
220,6012,ZB,UNION PATRIOTICA,6,UNION PATRIOTICA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
220,6013,ZB,UNION PATRIOTICA,6,UNION PATRIOTICA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
220,6015,ZB,UNION PATRIOTICA,6,UNION PATRIOTICA,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
